[ 2018-03-21 16:00:41 / linux        /   6475 /     78 ]: verification for vptest_xmm_xmm: verified
equivalence class size and score for vptest_xmm_xmm: 2 / (0, 0, 25)
[ 2018-03-21 16:00:41 / linux        /   6475 /     78 ]: task end: 'secondary search for vptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:01:52 / linux        /   6843 /     50 ]: entry point: strata cleanup
[ 2018-03-21 16:02:05 / linux        /   7021 /     50 ]: entry point: strata continue
[ 2018-03-21 16:02:37 / linux        /   7021 /     57 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:02:37 / linux        /   7021 /     57 ]: task end: 'initial search for vptest_xmm_xmm with budget=452196' with result 'Initial search success'
[ 2018-03-21 16:02:45 / linux        /   7021 /     58 ]: verification for ptest_xmm_xmm: verified
[ 2018-03-21 16:02:45 / linux        /   7021 /     58 ]: task end: 'initial search for ptest_xmm_xmm with budget=321227' with result 'Initial search success'
[ 2018-03-21 16:03:05 / linux        /   7021 /     76 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:03:11 / linux        /   7021 /     76 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:03:11 / linux        /   7021 /     76 ]: task end: 'secondary search for vptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:03:31 / linux        /   7021 /    106 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:03:37 / linux        /   7021 /    106 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:03:37 / linux        /   7021 /    106 ]: task end: 'secondary search for vptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:03:57 / linux        /   7021 /     89 ]: verification for ptest_xmm_xmm: verified
[ 2018-03-21 16:04:00 / linux        /   7021 /    123 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:04:03 / linux        /   7021 /     89 ]: verification for ptest_xmm_xmm: verified
[ 2018-03-21 16:04:03 / linux        /   7021 /     89 ]: task end: 'secondary search for ptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:04:06 / linux        /   7021 /    123 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:04:06 / linux        /   7021 /    123 ]: task end: 'secondary search for vptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:04:53 / linux        /   7021 /     58 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:04:59 / linux        /   7021 /     58 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:04:59 / linux        /   7021 /     58 ]: task end: 'secondary search for vptest_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2018-03-21 16:05:52 / linux        /   7021 /     76 ]: verification for vptest_xmm_xmm: verified
[ 2018-03-21 16:06:00 / linux        /   7021 /     76 ]: verification for vptest_xmm_xmm: verified
